id,book_number,book_title,published_date,author_id
NULL,B000FC2LUU,"Soul Surfer: A True Story of Faith, Family, and Fighting to Get Back on the Board",,
NULL,B000FC2LUU,Mindset: The New Psychology of Success,,
NULL,B000JMLMXI,The Autobiography of Benjamin Franklin,,
NULL,B000JQU58C,How to Camp Out,,
NULL,B000JQUKC8,How and When to Be Your Own Doctor,,
NULL,B000JQULDG,Dry-Farming : a System of Agriculture for Countries under a Low Rainfall,,
NULL,B000JQUSAC,"Home Vegetable Gardening â€”a Complete and Practical Guide to the Planting and Care of All Vegetables, Fruits and Berries Worth Growing for Home Use",,
NULL,B000JQV2UM,White Fang,,
NULL,B000JQV3QA,Alice's Adventures in Wonderland,,
,B000OCXIRG,Lord of the Flies,,
,B000OI1JMG,FREE 25 Language Phrasebook from Mobile Reference,,
,B000OVLKMM,The Glass Castle: A Memoir,,
,B000PLXETS,For One More Day,,
,B000PLXEU2,The Five People You Meet in Heaven,,
,B000QRIGLW,Twilight (The Twilight Saga Book 1),,
,B000QTE9WU,The Poisonwood Bible: A Novel,,
,B000RH0DTO,Saving for Retirement without Living Like a Pauper or Winning the Lottery,,
,B000SEGD90,The RealAge (R) Makeover: Take Years Off Your Looks and Add Them to Your Life,,
,B000SEHQ96,You Can Heal Your Life,,
,B000SEJCVG,The German Cookbook: A Complete Guide to Mastering Authentic German Cooking,,
,B000SERNH6,Riding the Bus with My Sister: A True Life Journey,,
,B000UZJQB4,"Younger Next Year for Women: Live Strong, Fit, and Sexyâ€”Until You're 80 and Beyond",,
,B000UZNSC2,"Good Calories, Bad Calories",,
,B000W914OA,Thanksgiving 101: Celebrate America's Favorite Holiday with America's Thanksgiving Expert (Holidays 101),,
,B000W93CPY,"Cover-up: Mystery at the Super Bowl (The Sports Beat, 3)",,
,B000WJVK26,The 7 Habits of Highly Effective People,,
,B000XPNV8A,A Love Affair with Southern Cooking: Recipes and Recollections,,
,B000XUBFE2,The Book Thief,,
,B00121SIGE,German Demystified,,
,B00139VU7E,The Last Lecture,,
,B0015DWNOM,The Winning Element (The Specialists Book 3),,
,B0015KGX3M,Manifest Your Destiny: The Nine Spiritual Principles for Getting Everything You Want,,
,B0016OX376,How to Remember Everything in the Book of Mormon,,
,B001B3XUMU,Get Unstuck! The Simple Guide to Restart Your  Life,,
,B001C6GQYK,"An Unreasonable Woman: A True Story of Shrimpers, Politicos, Polluters, and the Fight for Seadrift, Texas",,
,B001CK7YV0,"Chop, Chop (Chop, Chop Series Book 1)",,
,B001DDLTI0,It Happens Every Spring (The Four Seasons of a Marriage Series #1),,
,B001FA0TP0,"Diners, Drive-ins and Dives: An All-American Road Trip . . . with Recipes! (Diners, Drive-ins, and Dives Book 1)",,
,B001GMANO4,"Stuck in the Middle (Sister-to-Sister, Book 1)",,
,B001I45UE8,The Last Battle (Chronicles of Narnia Book 7),,
,B001I45UEI,The Voyage of the Dawn Treader (Chronicles of Narnia Book 5),,
,B001I45UES,The Silver Chair (Chronicles of Narnia Book 6),,
,B001I45UF2,The Magician's Nephew (Chronicles of Narnia Book 1),,
,B001I45UFC,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia Book 2)",,
,B001I45UFM,The Horse and His Boy (Chronicles of Narnia Book 3),,
,B001I45UFW,Prince Caspian: The Return to Narnia (Chronicles of Narnia Book 4),,
,B001JAI034,"DRY-FARMING: A Complete System for Achieving Bountiful Harvests Where Rain is Scarce, and Without Irrigation",,
,B001JNJDKK,The Truth About What Customers Want,,
,B001MJ07RO,"Rex: A Mother, Her Autistic Child, and the Music that Transformed Their Lives",,
,B001NLKS4S,A Homemade Life: Stories and Recipes from My Kitchen Table,,
,B001NLKSKM,Glorious One-Pot Meals: A Revolutionary New Quick and Healthy Approach to Dutch-Oven Cooking,,
,B001NLL38S,Body by Science: A Research Based Program to Get the Results You Want in 12 Minutes a Week,,
,B001NLL5UO,"Outcasts United: An American Town, a Refugee Team, and One Woman's Quest to Make a Difference",,
,B001O0DL9C,I'll Cross the River,,
,B001O1O7SK,In My Hands: Memories of a Holocaust Rescuer,,
,B001O2SAWI,Chicago Cooks: 25 Years of Chicago Culinary History and Great Recipes from Les Dames d'Escoffier,,
,B001OC7B1Y,Sole Sisters: Stories of Women and Running,,
,B001OM52GK,When All Hell Breaks Loose: Stuff You Need To Survive When Disaster Strikes,,
,B001OW5OX6,"Living Off the Grid: A Simple Guide to Creating and Maintaining a Self-Reliant Supply of Energy, Water, Shelter, and More",,
,B001QTVTX6,Green Made Easy: The Everyday Guide for Transitioning to a Green Lifestyle,,
,B001R4CKRY,Mossy Creek,,
,B001R4COFM,JESUS THE CHRIST [Illustrated],,
,B001R4GNTU,Dancing in the Moonlight (The Cowboys Of Cold Creek),,
,B001RNNBAK,Baking with Sourdough,,
,B001TGXNB2,"Best Easy Day Hikes Glacier and Waterton Lakes National Parks, 2nd (Best Easy Day Hikes Series)",,
,B001UE7D0K,"Mind Maps: Quicker Notes, Better Memory, and Improved Learning 3.0",,
,B001UFP6JY,Bridge to Terabithia,,
,B001V7U6V4,Movie Menus: Recipes for Perfect Meals with Your Favorite Films,,
,B0020BUWX2,"If I Stay (If I Stay, Book 1)",,
,B0020Q3FUE,Always Looking Up: The Adventures of an Incurable Optimist,,
,B0023SDR02,The Horse Boy: A Father's Quest to Heal His Son,,
,B0025VKW6E,"Enjoy Your Money!: How to Make It, Save It, Invest It and Give It",,
,B00263ZL8U,"Hiking Zion and Bryce Canyon National Parks, 2nd (Regional Hiking Series)",,
,B0026772OC,"Coop: A Year of Poultry, Pigs, and Parenting",,
,B0026OR2LS,Dreamweaver CS4: The Missing Manual: The Missing Manual (Missing Manuals),,
,B0026OR2TA,Photoshop CS4: The Missing Manual: The Missing Manual,,
,B0026ZQBB4,What About Now?:  Reminders for Being in the Moment,,
,B00280LYHI,"Sea of Monsters, The (Percy Jackson and the Olympians, Book 2)",,
,B00280LYHS,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",,
,B00280LYI2,"Titan's Curse, The (Percy Jackson and the Olympians, Book 3)",,
,B00280LYIC,"Lightning Thief, The (Percy Jackson and the Olympians, Book 1)",,
,B00280LYIM,"Battle of the Labyrinth, The (Percy Jackson and the Olympians, Book 4)",,
,B0028MVHFK,Simple Italian Sandwiches: Recipes from America's Favorite Panini Bar,,
,B0028QG7B0,COAL & COCA-COLA: Small Town USA 1949 (Short True Story w/Photos),,
,B002AKPEGI,Vegan Brunch: Homestyle Recipes Worth Waking Up For-From Asparagus Omelets to Pumpkin Pancakes,,
,B002AP9G94,Authentic Mexican: Regional Cooking from the Heart of Mexico,,
,B002ASFPYQ,Grammar Girl's Quick and Dirty Tips for Better Writing (Quick & Dirty Tips),,
,B002BU24U6,The Ultimate Rice Cooker Cookbook,,
,B002C949KE,"Predictably Irrational, Revised and Expanded Edition: The Hidden Forces That Shape Our Decisions",,
,B002CQ28MI,"Don't Judge a Girl by Her Cover (Gallagher Girls, Book 3)",,
,B002CQ28MS,Cross My Heart and Hope to Spy (Gallagher Girls Book 2),,
,B002DOSBJS,The Adventurous Boy's Handbook: For Ages 9 to 99,,
,B002EF2AJS,Mark Bittman's Kitchen Express: 404 inspired seasonal dishes you can make in 20 minutes or less,,
,B002EF2AL6,Timeless Healing: The Power and Biology of Belief,,
,B002FDLO64,A Taste of Magic (Magic Series Book 1),,
,B002FOT51Y,Practice Makes Perfect German Sentence Builder (Practice Makes Perfect Series),,
,B002GUK7M8,Model Spy (The Specialists Book 1),,
,B002IPZKDW,"Change-Up: Mystery at the World Series (The Sports Beat, 4)",,
,B002IUZLXQ,"The Joy of Jams, Jellies, and Other Sweet Preserves: 200 Classic and Contemporary Recipes Showcasing the Fabulous Flavors of Fresh Fruits",,
,B002JF1MAG,Simply Salads: More than 100 Creative Recipes You Can Make in Minutes from Prepackaged Greens,,
,B002KYHZCA,How to Start a Home-Based Jewelry Making Business: *Turn your passion into profit *Develop a smart business plan *Set market-appropriate prices ... on the Internet (Home-Based Business Series),,
,B002L4F486,"The Potluck Club (The Potluck Club, Book 1)",,
,B002LE87RQ,"Fools Rush In (Weddings by Bella, Book 1)",,
,B002MH4K00,Hike Your Own Hike: 7 Life Lessons from Backpacking Across America (WanderLearn Series Book 1),,
